line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;26505.18;;54752.31999999999;;56734.89000000001;
cost_time;;15175.34;;25633.160000000014;;19054.910000000007;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;3388.6399999999994;;4474.759999999999;;3578.779999999999;
cost_oper;;7941.200000000001;;7098.400000000001;;8221.2;
cost_repl;;;;17546.0;;25880.0;
0;1;5;12,11,10,16,18;0.0;12,11,10,16,18;5.0;12,11,10,16,18
1;1;5;18,16,10,11,12;0.0;18,16,10,11,12;5.0;18,16,10,11,12
2;2;5;2,6,8,16,17,19,20;5.0;2,6,8,16,17,19,20;4.0;2,6,8,7,18,16,17,19,20
3;2;5;20,19,17,16,8,6,2;5.0;20,19,17,16,8,6,2;4.0;20,19,17,16,10,9,8,6,2
4;3;0;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18;0.0;3,4,5,9,8,7,18
5;3;0;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3;0.0;18,7,8,9,5,4,3
6;4;5;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24
7;4;5;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1
8;5;3;10,15,22,23;3.0;10,15,22,23;3.0;10,15,22,23
9;5;3;23,22,15,10;3.0;23,22,15,10;3.0;23,22,15,10
10;6;2;13,24,21,20;2.0;13,24,21,20;2.0;13,24,21,20
11;6;2;20,21,24,13;2.0;20,21,24,13;2.0;20,21,24,13
12;7;1;12,11,10,9,8,7;0.0;12,11,4,5,9,8,7;1.0;12,11,10,9,8,7
13;7;1;7,8,9,10,11,12;0.0;7,8,9,5,4,11,12;1.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;2.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;2.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;1;6,5,9,10,15,19;1.0;6,5,9,10,15,19;2.0;6,5,9,10,15,19
17;9;1;19,15,10,9,5,6;1.0;19,15,10,9,5,6;2.0;19,15,10,9,5,6
18;10;1;8,16,10,11,14,23;0.0;8,16,10,15,14,23;0.0;8,9,10,11,14,23
19;10;1;23,14,11,10,16,8;0.0;23,14,15,10,16,8;0.0;23,14,11,10,9,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21;0.0;8,7,18,16,17,19,15,22,21
25;13;0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,10,9,8
26;14;1;14,15,19,17,10;2.0;14,15,19,17,10;1.0;14,15,19,17,10
27;14;1;10,17,19,15,14;2.0;10,17,19,15,14;1.0;10,17,19,15,14
