line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;19730.949999999997;;23055.819999999996;;22633.039999999997;
cost_time;;11711.57;;14048.74;;13601.160000000002;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;2843.379999999999;;2913.879999999999;;2887.0999999999995;
cost_oper;;5176.0;;4976.000000000001;;5317.199999999999;
cost_repl;;;;1117.2;;827.5800000000002;
0;1;3;12,11,10,16,18;2.0;12,11,4,5,9,10,16,18;3.0;12,11,10,16,18
1;1;3;18,16,10,11,12;2.0;18,16,10,9,5,4,11,12;3.0;18,16,10,11,12
2;2;5;2,6,8,16,17,19,20;4.0;2,6,8,16,17,19,20;3.0;2,6,8,7,18,16,17,19,20
3;2;5;20,19,17,16,8,6,2;4.0;20,19,17,16,8,6,2;3.0;20,19,17,16,18,7,8,6,2
4;3;0;3,4,5,9,8,7,18;0.0;3,4,5,9,8,7,18;0.0;3,4,5,9,8,7,18
5;3;0;18,7,8,9,5,4,3;0.0;18,7,8,9,5,4,3;0.0;18,7,8,9,5,4,3
6;4;3;1,3,4,11,14,23,24;3.0;1,3,4,11,14,23,24;3.0;1,3,4,11,14,23,24
7;4;3;24,23,14,11,4,3,1;3.0;24,23,14,11,4,3,1;3.0;24,23,14,11,4,3,1
8;5;1;10,15,22,23;1.0;10,15,22,23;1.0;10,15,22,23
9;5;1;23,22,15,10;1.0;23,22,15,10;1.0;23,22,15,10
10;6;1;13,24,21,20;1.0;13,24,21,20;1.0;13,24,21,20
11;6;1;20,21,24,13;1.0;20,21,24,13;1.0;20,21,24,13
12;7;0;12,11,10,9,8,7;1.0;12,11,4,5,6,8,7;0.0;12,11,10,9,8,7
13;7;0;7,8,9,10,11,12;1.0;7,8,6,5,4,11,12;0.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;0.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;0.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;1;6,5,9,10,15,19;0.0;6,5,9,10,15,19;1.0;6,5,9,10,15,19
17;9;1;19,15,10,9,5,6;0.0;19,15,10,9,5,6;1.0;19,15,10,9,5,6
18;10;1;8,16,10,11,14,23;1.0;8,16,10,15,14,23;1.0;8,6,5,9,10,11,14,23
19;10;1;23,14,11,10,16,8;1.0;23,14,15,10,16,8;1.0;23,14,11,10,9,5,6,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21
25;13;0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8
26;14;0;14,15,19,17,10;0.0;14,15,19,17,10;1.0;14,15,19,17,10
27;14;0;10,17,19,15,14;0.0;10,17,19,15,14;1.0;10,17,19,15,14
