source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;case_k;case_per_run;case_variants;case_selection;case_p_fail
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;1;1;100;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;2;1;100;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;3;1;100;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;4;1;60;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;1;2;50;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;1;3;30;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;2;2;40;line_consecutive;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;1;1;36;line_consecutive;0.3
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;1;1;36;line_consecutive;0.7
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;2;1;28;line_consecutive;0.3
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;2;1;28;line_consecutive;0.7
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;2;1;30;line_all;0.5
lintim;Mumford0;Mumford0;bounds;TRUE;False;0.00001;6000;1;2;20;50;200;-5;100;0.75;2;50;500;30;20;16;2;1;30;random;0.5
