line;group;nominal_freq;nominal_path
prob;;;
objective;;15963.589999999876;
cost_time;;4148.4899999998615;
cost_bypass;;0.0;
cost_wait;;1185.9000000000171;
cost_oper;;10629.199999999999;
cost_repl;;;
0;1;5;12,11,10,16,18
1;1;5;18,16,10,11,12
2;2;8;2,6,8,16,17,19,20
3;2;8;20,19,17,16,8,6,2
4;3;0;3,4,5,9,8,7,18
5;3;0;18,7,8,9,5,4,3
6;4;7;1,3,4,11,14,23,24
7;4;7;24,23,14,11,4,3,1
8;5;0;10,15,22,23
9;5;0;23,22,15,10
10;6;5;13,24,21,20
11;6;5;20,21,24,13
12;7;0;12,11,10,9,8,7
13;7;0;7,8,9,10,11,12
14;8;0;1,3,12,11,14
15;8;0;14,11,12,3,1
16;9;5;6,5,9,10,15,19
17;9;5;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23
19;10;0;23,14,11,10,16,8
20;11;0;22,20,18,7,8
21;11;0;8,7,18,20,22
22;12;0;13,12,3,1,2
23;12;0;2,1,3,12,13
24;13;0;8,16,17,19,15,22,21
25;13;0;21,22,15,19,17,16,8
26;14;1;14,15,19,17,10
27;14;1;10,17,19,15,14
