line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;74497.27999995973;;105414.92000067694;;112123.97999618168;
cost_time;;50443.49999996043;;60353.44000058006;;56643.39999615617;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;10457.379999999297;;10993.080000096867;;11276.180000025492;
cost_oper;;13596.400000000003;;12468.400000000003;;13044.400000000003;
cost_repl;;;;21600.0;;31160.0;
0;1;5;12,11,10,16,18;1.0;12,11,4,5,9,10,16,18;5.0;12,11,10,16,18
1;1;5;18,16,10,11,12;1.0;18,16,10,15,14,11,12;5.0;18,16,10,11,12
2;2;5;2,6,8,16,17,19,20;5.0;2,6,8,16,17,19,20;3.0;2,6,8,9,10,16,17,19,20
3;2;5;20,19,17,16,8,6,2;5.0;20,19,17,16,8,6,2;3.0;20,19,17,16,10,9,5,6,2
4;3;3;3,4,5,9,8,7,18;3.0;3,4,5,9,8,7,18;3.0;3,4,5,9,8,7,18
5;3;3;18,7,8,9,5,4,3;3.0;18,7,8,9,5,4,3;3.0;18,7,8,9,5,4,3
6;4;6;1,3,4,11,14,23,24;6.0;1,3,4,11,14,23,24;6.0;1,3,4,11,14,23,24
7;4;6;24,23,14,11,4,3,1;6.0;24,23,14,11,4,3,1;6.0;24,23,14,11,4,3,1
8;5;4;10,15,22,23;4.0;10,15,22,23;4.0;10,15,22,23
9;5;4;23,22,15,10;4.0;23,22,15,10;4.0;23,22,15,10
10;6;4;13,24,21,20;4.0;13,24,21,20;4.0;13,24,21,20
11;6;4;20,21,24,13;4.0;20,21,24,13;4.0;20,21,24,13
12;7;1;12,11,10,9,8,7;1.0;12,11,14,15,10,9,8,7;1.0;12,11,10,9,8,7
13;7;1;7,8,9,10,11,12;1.0;7,8,9,10,15,14,11,12;1.0;7,8,9,10,11,12
14;8;1;1,3,12,11,14;1.0;1,3,12,11,14;1.0;1,3,12,11,14
15;8;1;14,11,12,3,1;1.0;14,11,12,3,1;1.0;14,11,12,3,1
16;9;4;6,5,9,10,15,19;4.0;6,5,9,10,15,19;4.0;6,5,9,10,15,19
17;9;4;19,15,10,9,5,6;4.0;19,15,10,9,5,6;4.0;19,15,10,9,5,6
18;10;1;8,16,10,11,14,23;0.0;8,16,10,15,14,23;1.0;8,6,5,4,11,14,23
19;10;1;23,14,11,10,16,8;0.0;23,14,15,10,16,8;1.0;23,14,11,10,9,8
20;11;1;22,20,18,7,8;1.0;22,20,18,7,8;1.0;22,20,18,7,8
21;11;1;8,7,18,20,22;1.0;8,7,18,20,22;1.0;8,7,18,20,22
22;12;1;13,12,3,1,2;1.0;13,12,3,1,2;1.0;13,12,3,1,2
23;12;1;2,1,3,12,13;1.0;2,1,3,12,13;1.0;2,1,3,12,13
24;13;1;8,16,17,19,15,22,21;1.0;8,16,17,19,15,22,21;0.0;8,7,18,16,17,19,15,22,21
25;13;1;21,22,15,19,17,16,8;1.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,10,9,8
26;14;3;14,15,19,17,10;3.0;14,15,19,17,10;3.0;14,15,19,17,10
27;14;3;10,17,19,15,14;3.0;10,17,19,15,14;3.0;10,17,19,15,14
