edge_id;edge_len;flow_total;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_26;flow_line_27
10;1.8;50.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.8;37.5;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2.4;95.30000000000001;0.0;0.0;0.0;0.0;95.30000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2.4;20.95;0.0;0.0;0.0;0.0;0.0;20.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;116.96000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116.96000000000004;0.0;0.0;0.0
16;1.2;142.42000000000004;0.0;0.0;7.740000000000011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134.68000000000004;0.0;0.0;0.0
17;1.2;12.96;0.0;0.0;0.0;12.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;1.2;150.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;58.33;0.0;0.0;0.0;0.0;58.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;2.0;33.34;0.0;0.0;0.0;33.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;1.2;33.34;0.0;0.0;0.0;33.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2.0;38.460000000000164;0.0;0.0;38.460000000000164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;1.2;147.45000000000005;147.45000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;1.2;24.82;0.0;24.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
