line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;54425.069999999985;;85350.99999999999;;95841.31;
cost_time;;36338.00999999999;;43017.41999999996;;41651.58999999999;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;7676.66;;8547.18;;8243.32;
cost_oper;;10410.4;;10626.399999999998;;10386.399999999998;
cost_repl;;;;23160.0;;35560.0;
0;1;3;12,11,10,16,18;1.0;12,11,4,5,9,10,16,18;3.0;12,11,10,16,18
1;1;3;18,16,10,11,12;1.0;18,16,10,9,5,4,11,12;3.0;18,16,10,11,12
2;2;6;2,6,8,16,17,19,20;6.0;2,6,8,16,17,19,20;5.0;2,6,8,9,10,16,17,19,20
3;2;6;20,19,17,16,8,6,2;6.0;20,19,17,16,8,6,2;5.0;20,19,17,16,10,9,8,6,2
4;3;2;3,4,5,9,8,7,18;3.0;3,4,5,9,8,7,18;2.0;3,4,5,9,8,7,18
5;3;2;18,7,8,9,5,4,3;3.0;18,7,8,9,5,4,3;2.0;18,7,8,9,5,4,3
6;4;5;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24
7;4;5;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1
8;5;3;10,15,22,23;3.0;10,15,22,23;4.0;10,15,22,23
9;5;3;23,22,15,10;3.0;23,22,15,10;4.0;23,22,15,10
10;6;3;13,24,21,20;3.0;13,24,21,20;3.0;13,24,21,20
11;6;3;20,21,24,13;3.0;20,21,24,13;3.0;20,21,24,13
12;7;2;12,11,10,9,8,7;0.0;12,11,4,5,9,8,7;2.0;12,11,10,9,8,7
13;7;2;7,8,9,10,11,12;0.0;7,8,9,5,4,11,12;2.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;1.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;1.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;2;6,5,9,10,15,19;3.0;6,5,9,10,15,19;3.0;6,5,9,10,15,19
17;9;2;19,15,10,9,5,6;3.0;19,15,10,9,5,6;3.0;19,15,10,9,5,6
18;10;1;8,16,10,11,14,23;0.0;8,16,10,15,14,23;0.0;8,9,10,11,14,23
19;10;1;23,14,11,10,16,8;0.0;23,14,15,10,16,8;0.0;23,14,11,10,9,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;1.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;1.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;2;8,16,17,19,15,22,21;2.0;8,16,17,19,15,22,21;0.0;8,7,18,16,17,19,15,22,21
25;13;2;21,22,15,19,17,16,8;2.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,10,9,8
26;14;2;14,15,19,17,10;2.0;14,15,19,17,10;2.0;14,15,19,17,10
27;14;2;10,17,19,15,14;2.0;10,17,19,15,14;2.0;10,17,19,15,14
