edge_id;direction;edge_len;flow_total;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_26;flow_line_27
6;4-5;1.8;100.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;5-4;1.8;33.89000000000001;0.0;0.0;0.0;33.89000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;4-11;2.4;112.5;0.0;0.0;0.0;0.0;112.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;11-4;2.4;8.310000000000151;0.0;0.0;0.0;0.0;0.0;8.310000000000151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;6-5;2.0;89.56999999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.56999999999988;0.0;0.0;0.0
9;5-9;1.2;165.02999999999986;0.0;0.0;52.52999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.50000000000001;0.0;0.0;0.0
9;9-5;1.2;9.35;0.0;0.0;0.0;9.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;6-8;1.2;197.10000000000014;197.10000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1-3;1.4;99.51;0.0;0.0;0.0;0.0;99.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;7-8;2.0;53.540000000000006;0.0;0.0;0.0;53.540000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;18-7;1.2;53.540000000000006;0.0;0.0;0.0;53.540000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;8-9;2.0;9.35;0.0;0.0;0.0;9.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;9-8;2.0;65.83;0.0;0.0;65.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;8-16;1.2;200.00000000000014;200.00000000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;16-8;1.2;34.17000000000003;0.0;34.17000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;9-10;1.2;101.41000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.41000000000003;0.0;0.0;0.0
15;10-9;1.2;42.269999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.269999999999996;0.0;0.0
17;10-15;2.6;88.50999999999999;0.0;0.0;0.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;13.509999999999991;0.0;0.0;0.0
17;15-10;2.6;36.04999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.04999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;10-17;2.33;90.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.27
19;17-10;2.33;24.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.16;0.0
20;12-11;1.6;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
3;2-6;1.4;107.82;107.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;13-24;1.6;61.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;11-14;2.6;115.33;0.0;0.0;0.0;0.0;85.81999999999985;0.0;0.0;0.0;0.0;0.0;29.510000000000144;0.0;0.0;0.0;0.0;0.0
23;14-11;2.6;115.17999999999998;0.0;0.0;0.0;0.0;0.0;112.49999999999999;0.0;0.0;0.0;0.0;0.0;2.6799999999999873;0.0;0.0;0.0;0.0
24;14-15;1.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
24;15-14;1.8;56.219999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.219999999999985
25;14-23;1.2;143.76999999999998;0.0;0.0;0.0;0.0;143.76999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;23-14;1.2;19.879999999999995;0.0;0.0;0.0;0.0;0.0;19.879999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;15-19;2.0;75.62000000000029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6200000000001467;0.0;75.00000000000014;0.0
26;19-15;2.0;16.45999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.55;0.0;12.909999999999979
27;15-22;1.2;98.72;0.0;0.0;0.0;0.0;0.0;0.0;98.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;22-15;1.2;11.669999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.669999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;16-17;1.2;105.13000000000011;105.13000000000011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;17-16;1.2;168.43000000000015;0.0;168.43000000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;17-19;1.4;12.909999999999979;12.909999999999979;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;19-17;1.4;177.41000000000017;0.0;108.26000000000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.15;0.0
4;3-4;1.6;174.24999999999986;0.0;0.0;61.749999999999844;0.0;112.50000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;20-19;2.8;58.53;0.0;58.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;21-20;2.0;3.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;21-24;1.8;56.74000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.74000000000001;0.0;0.0;0.0;0.0;0.0;0.0
37;22-23;1.8;72.7;0.0;0.0;0.0;0.0;0.0;0.0;72.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;23-22;1.8;56.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;24-23;1.6;150.0;0.0;0.0;0.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;12-3;2.4;50.50999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.50999999999985;0.0;0.0;0.0;0.0
