line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;78564.2199999964;;104407.33999999933;;105475.4400000014;
cost_time;;52354.15999999692;;64709.540000000314;;58539.84000000107;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;11328.45999999948;;12080.199999999006;;11894.000000000317;
cost_oper;;14881.600000000002;;13497.600000000002;;14281.600000000002;
cost_repl;;;;14120.0;;20760.0;
0;1;5;12,11,10,16,18;0.0;12,11,10,16,18;5.0;12,11,10,16,18
1;1;5;18,16,10,11,12;0.0;18,16,10,11,12;5.0;18,16,10,11,12
2;2;5;2,6,8,16,17,19,20;5.0;2,6,8,16,17,19,20;3.0;2,6,8,9,10,16,17,19,20
3;2;5;20,19,17,16,8,6,2;5.0;20,19,17,16,8,6,2;3.0;20,19,17,16,10,9,8,6,2
4;3;3;3,4,5,9,8,7,18;3.0;3,4,5,9,8,7,18;3.0;3,4,5,9,8,7,18
5;3;3;18,7,8,9,5,4,3;3.0;18,7,8,9,5,4,3;3.0;18,7,8,9,5,4,3
6;4;7;1,3,4,11,14,23,24;7.0;1,3,4,11,14,23,24;7.0;1,3,4,11,14,23,24
7;4;7;24,23,14,11,4,3,1;7.0;24,23,14,11,4,3,1;7.0;24,23,14,11,4,3,1
8;5;5;10,15,22,23;5.0;10,15,22,23;5.0;10,15,22,23
9;5;5;23,22,15,10;5.0;23,22,15,10;5.0;23,22,15,10
10;6;4;13,24,21,20;4.0;13,24,21,20;4.0;13,24,21,20
11;6;4;20,21,24,13;4.0;20,21,24,13;4.0;20,21,24,13
12;7;1;12,11,10,9,8,7;1.0;12,11,4,5,9,8,7;1.0;12,11,10,9,8,7
13;7;1;7,8,9,10,11,12;1.0;7,8,9,5,4,11,12;1.0;7,8,9,10,11,12
14;8;2;1,3,12,11,14;2.0;1,3,12,11,14;2.0;1,3,12,11,14
15;8;2;14,11,12,3,1;2.0;14,11,12,3,1;2.0;14,11,12,3,1
16;9;5;6,5,9,10,15,19;5.0;6,5,9,10,15,19;5.0;6,5,9,10,15,19
17;9;5;19,15,10,9,5,6;5.0;19,15,10,9,5,6;5.0;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23;0.0;8,16,10,15,14,23;0.0;8,9,10,11,14,23
19;10;0;23,14,11,10,16,8;0.0;23,14,15,10,16,8;0.0;23,14,11,10,9,8
20;11;1;22,20,18,7,8;1.0;22,20,18,7,8;1.0;22,20,18,7,8
21;11;1;8,7,18,20,22;1.0;8,7,18,20,22;1.0;8,7,18,20,22
22;12;1;13,12,3,1,2;1.0;13,12,3,1,2;1.0;13,12,3,1,2
23;12;1;2,1,3,12,13;1.0;2,1,3,12,13;1.0;2,1,3,12,13
24;13;1;8,16,17,19,15,22,21;1.0;8,16,17,19,15,22,21;0.0;8,7,18,16,17,19,15,22,21
25;13;1;21,22,15,19,17,16,8;1.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,10,9,8
26;14;4;14,15,19,17,10;4.0;14,15,19,17,10;4.0;14,15,19,17,10
27;14;4;10,17,19,15,14;4.0;10,17,19,15,14;4.0;10,17,19,15,14
