line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;49349.18999999998;;75452.08;;120285.81000000001;
cost_time;;29897.549999999985;;36716.96000000001;;37936.31000000001;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;6404.44;;7367.919999999999;;6982.5;
cost_oper;;13047.199999999995;;12527.199999999995;;12738.999999999996;
cost_repl;;;;18840.0;;62628.0;
0;1;3;12,11,10,16,18;0.0;12,11,10,16,18;3.0;12,11,10,16,18
1;1;3;18,16,10,11,12;0.0;18,16,10,11,12;3.0;18,16,10,11,12
2;2;2;2,6,8,16,17,19,20;3.0;2,6,8,16,17,19,20;0.0;2,6,8,16,17,19,20
3;2;2;20,19,17,16,8,6,2;3.0;20,19,17,16,8,6,2;0.0;20,19,17,16,8,6,2
4;3;4;3,4,5,9,8,7,18;4.0;3,4,5,9,8,7,18;4.0;3,4,5,9,8,7,18
5;3;4;18,7,8,9,5,4,3;4.0;18,7,8,9,5,4,3;4.0;18,7,8,9,5,4,3
6;4;5;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24
7;4;5;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1
8;5;2;10,15,22,23;2.0;10,15,22,23;2.0;10,15,22,23
9;5;2;23,22,15,10;2.0;23,22,15,10;2.0;23,22,15,10
10;6;2;13,24,21,20;2.0;13,24,21,20;2.0;13,24,21,20
11;6;2;20,21,24,13;2.0;20,21,24,13;2.0;20,21,24,13
12;7;0;12,11,10,9,8,7;0.0;12,11,4,5,9,8,7;0.0;12,11,10,9,8,7
13;7;0;7,8,9,10,11,12;0.0;7,8,9,5,4,11,12;0.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;0.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;0.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;5;6,5,9,10,15,19;5.0;6,5,9,10,15,19;5.0;6,5,9,10,15,19
17;9;5;19,15,10,9,5,6;5.0;19,15,10,9,5,6;5.0;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23;0.0;8,16,10,15,14,23;0.0;8,9,10,11,14,23
19;10;0;23,14,11,10,16,8;0.0;23,14,15,10,16,8;0.0;23,14,11,10,9,8
20;11;1;22,20,18,7,8;1.0;22,20,18,7,8;1.0;22,20,18,7,8
21;11;1;8,7,18,20,22;1.0;8,7,18,20,22;1.0;8,7,18,20,22
22;12;5;13,12,3,1,2;5.0;13,12,3,1,2;5.0;13,12,3,1,2
23;12;5;2,1,3,12,13;5.0;2,1,3,12,13;5.0;2,1,3,12,13
24;13;3;8,16,17,19,15,22,21;3.0;8,16,17,19,15,22,21;3.0;8,9,10,17,19,15,22,21
25;13;3;21,22,15,19,17,16,8;3.0;21,22,15,19,17,16,8;3.0;21,22,15,19,17,16,10,9,8
26;14;2;14,15,19,17,10;2.0;14,15,19,17,10;2.0;14,15,19,17,10
27;14;2;10,17,19,15,14;2.0;10,17,19,15,14;2.0;10,17,19,15,14
