run;scenario;group;cand_id;kind;start_id;end_id;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq;selected;is_nominal;is_base
0;0;1;0;base;12;18;12,11,4,5,9,10,16,18;"12->11;11->4;4->5;5->9;9->10;10->16;16->18";12.2;8.4;4200.0;1;0;1
0;0;1;1;detour;12;18;12,3,4,5,9,10,16,18;"12->3;3->4;4->5;5->9;9->10;10->16;16->18";12.2;11.6;5800.0;0;0;0
0;0;1;2;detour;12;18;12,11,14,15,10,16,18;"12->11;11->14;14->15;15->10;10->16;16->18";12.6;8.8;4400.0;0;0;0
0;0;2;0;nominal;2;20;2,6,8,16,17,19,20;"2->6;6->8;8->16;16->17;17->19;19->20";9.2;0.0;0.0;1;1;0
0;0;2;1;detour;2;20;2,6,5,9,10,15,22,20;"2->6;6->5;5->9;9->10;10->15;15->22;22->20";12.16;18.56;9280.0;0;0;0
0;0;2;2;detour;2;20;2,1,3,4,11,14,23,22,20;"2->1;1->3;3->4;4->11;11->14;14->23;23->22;22->20";18.96;28.16;14080.0;0;0;0
0;0;2;3;ksp;2;20;2,6,8,7,18,20;"2->6;6->8;8->7;7->18;18->20";11.559999999999999;15.559999999999999;7779.999999999999;0;0;0
0;0;3;0;nominal;3;18;3,4,5,9,8,7,18;"3->4;4->5;5->9;9->8;8->7;7->18";9.8;0.0;0.0;0;1;0
0;0;3;1;detour;3;18;3,4,5,6,8,16,18;"3->4;4->5;5->6;6->8;8->16;16->18";9.8;12.8;6400.0;0;0;0
0;0;3;2;detour;3;18;3,1,2,6,8,16,18;"3->1;1->2;2->6;6->8;8->16;16->18";12.6;22.4;11200.0;0;0;0
0;0;3;3;ksp;3;18;3,4,5,9,10,16,18;"3->4;4->5;5->9;9->10;10->16;16->18";9.8;10.4;5200.0;0;0;0
0;0;4;0;nominal;1;24;1,3,4,11,14,23,24;"1->3;3->4;4->11;11->14;14->23;23->24";10.8;0.0;0.0;1;1;0
0;0;4;1;detour;1;24;1,3,12,13,24;"1->3;3->12;12->13;13->24";10.8;18.8;9400.0;0;0;0
0;0;4;2;detour;1;24;1,2,6,8,16,17,19,20,21,24;"1->2;2->6;6->8;8->16;16->17;17->19;19->20;20->21;21->24";18.4;29.2;14600.0;0;0;0
0;0;5;0;nominal;10;23;10,15,22,23;"10->15;15->22;22->23";5.6;0.0;0.0;0;1;0
0;0;5;1;detour;10;23;10,15,14,23;"10->15;15->14;14->23";5.6;6.0;3000.0;0;0;0
