line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;41611.999999999985;;48317.01000000001;;48902.63;
cost_time;;27089.79999999999;;30585.870000000014;;31043.549999999996;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;5981.000000000002;;6550.340000000002;;6705.859999999999;
cost_oper;;8541.2;;9741.199999999999;;10189.400000000001;
cost_repl;;;;1439.6;;963.82;
0;1;4;12,11,10,16,18;2.0;12,11,4,5,6,8,7,18;6.0;12,11,10,16,18
1;1;4;18,16,10,11,12;2.0;18,16,10,9,5,4,3,12;6.0;18,16,10,11,12
2;2;7;2,6,8,16,17,19,20;4.0;2,6,8,16,17,19,20;5.0;2,6,5,9,10,17,19,20
3;2;7;20,19,17,16,8,6,2;4.0;20,19,17,16,8,6,2;5.0;20,19,17,10,9,8,6,2
4;3;1;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18
5;3;1;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3
6;4;5;1,3,4,11,14,23,24;4.0;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24
7;4;5;24,23,14,11,4,3,1;4.0;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1
8;5;2;10,15,22,23;2.0;10,15,22,23;2.0;10,15,22,23
9;5;2;23,22,15,10;2.0;23,22,15,10;2.0;23,22,15,10
10;6;2;13,24,21,20;2.0;13,24,21,20;2.0;13,24,21,20
11;6;2;20,21,24,13;2.0;20,21,24,13;2.0;20,21,24,13
12;7;1;12,11,10,9,8,7;4.0;12,11,4,5,9,8,7;0.0;12,11,10,9,8,7
13;7;1;7,8,9,10,11,12;4.0;7,8,6,5,4,11,12;0.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;0.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;0.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;1;6,5,9,10,15,19;0.0;6,5,9,10,15,19;0.0;6,5,9,10,15,19
17;9;1;19,15,10,9,5,6;0.0;19,15,10,9,5,6;0.0;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23;2.0;8,16,10,15,14,23;4.0;8,9,10,11,14,23
19;10;0;23,14,11,10,16,8;2.0;23,14,15,10,16,8;4.0;23,14,11,4,5,6,8
20;11;0;22,20,18,7,8;3.0;22,15,10,9,8;1.0;22,20,18,7,8
21;11;0;8,7,18,20,22;3.0;8,9,10,15,22;1.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;1;8,16,17,19,15,22,21;2.0;8,16,17,19,15,22,21;1.0;8,6,5,9,10,15,22,21
25;13;1;21,22,15,19,17,16,8;2.0;21,22,15,19,17,16,8;1.0;21,22,15,19,17,10,9,8
26;14;1;14,15,19,17,10;1.0;14,15,19,17,10;0.0;14,15,19,17,10
27;14;1;10,17,19,15,14;1.0;10,17,19,15,14;0.0;10,17,19,15,14
