edge_id;direction;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_16;flow_line_17;flow_line_18;flow_line_19;flow_line_24;flow_line_25;flow_line_26;flow_line_27
7;4-11;2.4;119.79;0.0;0.0;0.0;0.0;119.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;6-5;2.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;5-9;1.2;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;6-8;1.2;249.17000000000036;0.0;0.0;249.17000000000036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1-3;1.4;99.51;0.0;0.0;0.0;0.0;99.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;8-16;1.2;174.82000000000005;0.0;0.0;167.33999999999884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.480000000001212;0.0;0.0;0.0;0.0;0.0
14;16-8;1.2;66.94000000005164;0.0;0.0;0.0;45.02000000002326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.920000000028388;0.0;0.0;0.0;0.0
15;9-10;1.2;17.789999999999765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.789999999999765;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;10-9;1.2;20.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.35;0.0;0.0;0.0;0.0;0.0;0.0
16;10-11;1.8;113.22000000001647;0.0;90.1100000000047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.110000000011766;0.0;0.0;0.0;0.0;0.0
16;11-10;1.8;187.5;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0
17;10-15;2.6;22.09;0.0;0.0;0.0;0.0;0.0;0.0;22.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;15-10;2.6;0.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;10-16;2.0;150.65000000003658;128.7300000000082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.920000000028388;0.0;0.0;0.0;0.0
18;16-10;2.0;78.44000000004091;0.0;70.9600000000397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.480000000001212;0.0;0.0;0.0;0.0;0.0
19;10-17;2.33;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5
20;12-11;1.6;150.51;150.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;2-6;1.4;107.82000000000033;0.0;0.0;107.82000000000033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;13-24;1.6;61.68999999999828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.68999999999828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;11-14;2.6;72.17000000001177;0.0;0.0;0.0;0.0;34.67000000001177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0
23;14-11;2.6;80.1900000000191;0.0;0.0;0.0;0.0;0.0;58.9600000000191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.22999999999999;0.0;0.0;0.0;0.0
24;14-15;1.8;37.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0
24;15-14;1.8;10.390000000011765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.390000000011765
25;14-23;1.2;152.27000000002351;0.0;0.0;0.0;0.0;114.77000000002353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0
25;23-14;1.2;19.880000000029106;0.0;0.0;0.0;0.0;0.0;19.880000000029106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;15-19;2.0;23.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.52;0.0
27;15-22;1.2;74.99999999998823;0.0;0.0;0.0;0.0;0.0;0.0;37.5000000000895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.49999999989873;0.0;0.0;0.0
28;16-17;1.2;102.34999999991288;0.0;0.0;102.34999999991288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
