line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;41557.770000000004;;45846.16999999999;;47269.620000023206;
cost_time;;27088.05;;30753.989999999987;;31006.540000021745;
cost_bypass;;0.0;;0.0;;0.0;
cost_wait;;5936.520000000002;;6045.519999999998;;6387.320000001461;
cost_oper;;8533.2;;8442.400000000001;;9082.0;
cost_repl;;;;604.26;;793.7599999999999;
0;1;4;12,11,10,16,18;3.0;12,11,4,5,9,10,16,18;7.0;12,11,10,16,18
1;1;4;18,16,10,11,12;3.0;18,16,10,9,5,4,11,12;7.0;18,16,10,11,12
2;2;6;2,6,8,16,17,19,20;4.0;2,6,8,16,17,19,20;3.0;2,6,8,9,10,17,19,20
3;2;6;20,19,17,16,8,6,2;4.0;20,19,17,16,8,6,2;3.0;20,19,17,10,9,8,6,2
4;3;1;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18
5;3;1;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3
6;4;5;1,3,4,11,14,23,24;5.0;1,3,4,11,14,23,24;4.0;1,3,4,11,14,23,24
7;4;5;24,23,14,11,4,3,1;5.0;24,23,14,11,4,3,1;4.0;24,23,14,11,4,3,1
8;5;2;10,15,22,23;1.0;10,15,22,23;1.0;10,15,22,23
9;5;2;23,22,15,10;1.0;23,22,15,10;1.0;23,22,15,10
10;6;2;13,24,21,20;2.0;13,24,21,20;3.0;13,24,21,20
11;6;2;20,21,24,13;2.0;20,21,24,13;3.0;20,21,24,13
12;7;1;12,11,10,9,8,7;1.0;12,11,4,5,6,8,7;0.0;12,11,10,9,8,7
13;7;1;7,8,9,10,11,12;1.0;7,8,6,5,4,11,12;0.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;0.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;0.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;2;6,5,9,10,15,19;2.0;6,5,9,10,15,19;1.0;6,5,9,10,17,19
17;9;2;19,15,10,9,5,6;2.0;19,17,16,8,6;1.0;19,17,10,9,5,6
18;10;0;8,16,10,11,14,23;1.0;8,9,10,15,14,23;1.0;8,6,5,9,10,11,14,23
19;10;0;23,14,11,10,16,8;1.0;23,14,15,10,16,8;1.0;23,14,11,10,9,5,6,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;1.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;1.0;2,1,3,12,13
24;13;1;8,16,17,19,15,22,21;1.0;8,16,17,19,15,22,21;2.0;8,6,5,9,10,15,22,21
25;13;1;21,22,15,19,17,16,8;1.0;21,22,15,19,17,16,8;2.0;21,22,15,10,9,5,6,8
26;14;1;14,15,19,17,10;2.0;14,15,19,17,10;1.0;14,15,19,17,10
27;14;1;10,17,19,15,14;2.0;10,17,19,15,14;1.0;10,17,19,15,14
