run;scenario;line;cand_id;kind;start_id;end_id;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq;selected;freq
10;0;0;0;base;12;18;12,11,4,5,9,10,16,18;"12->11;11->4;4->5;5->9;9->10;10->16;16->18";12.2;8.4;1008.0;1;1
10;0;0;1;detour;12;18;12,11,4,5,6,8,7,18;"12->11;11->4;4->5;5->6;6->8;8->7;7->18";12.2;16.4;1967.9999999999998;0;0
10;0;0;2;detour;12;18;12,11,4,5,6,8,16,18;"12->11;11->4;4->5;5->6;6->8;8->16;16->18";12.2;12.399999999999999;1487.9999999999998;0;0
10;0;0;3;detour;12;18;12,11,14,15,10,16,18;"12->11;11->14;14->15;15->10;10->16;16->18";12.6;8.8;1056.0;0;0
10;0;0;4;detour;12;18;12,3,4,5,9,10,16,18;"12->3;3->4;4->5;5->9;9->10;10->16;16->18";12.2;11.6;1392.0;0;0
10;0;1;0;base;18;12;18,16,10,9,5,4,11,12;"18->16;16->10;10->9;9->5;5->4;4->11;11->12";12.2;8.4;1008.0;1;1
10;0;1;1;detour;18;12;18,16,10,9,5,4,3,12;"18->16;16->10;10->9;9->5;5->4;4->3;3->12";12.2;11.6;1392.0;0;0
10;0;1;2;detour;18;12;18,16,8,9,5,4,11,12;"18->16;16->8;8->9;9->5;5->4;4->11;11->12";12.2;12.399999999999999;1487.9999999999998;0;0
10;0;1;3;detour;18;12;18,16,10,15,14,11,12;"18->16;16->10;10->15;15->14;14->11;11->12";12.6;8.8;1056.0;0;0
10;0;1;4;ksp;18;12;18,7,8,9,5,4,11,12;"18->7;7->8;8->9;9->5;5->4;4->11;11->12";12.2;16.4;1967.9999999999998;0;0
10;0;2;0;nominal;2;20;2,6,8,16,17,19,20;"2->6;6->8;8->16;16->17;17->19;19->20";9.2;0.0;0.0;1;5
10;0;3;0;nominal;20;2;20,19,17,16,8,6,2;"20->19;19->17;17->16;16->8;8->6;6->2";9.2;0.0;0.0;1;5
10;0;4;0;nominal;3;18;3,4,5,9,8,7,18;"3->4;4->5;5->9;9->8;8->7;7->18";9.8;0.0;0.0;1;1
10;0;5;0;nominal;18;3;18,7,8,9,5,4,3;"18->7;7->8;8->9;9->5;5->4;4->3";9.8;0.0;0.0;1;1
