run;scenario;line;cand_id;kind;start_id;end_id;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq;selected;is_nominal;is_base
0;0;0;;none;;;;;;;;0;;
0;0;1;;none;;;;;;;;0;;
0;0;2;;none;;;;;;;;0;;
0;0;3;;none;;;;;;;;0;;
0;0;4;;none;;;;;;;;0;;
0;0;5;;none;;;;;;;;0;;
0;0;6;;none;;;;;;;;0;;
0;0;7;;none;;;;;;;;0;;
0;0;8;;none;;;;;;;;0;;
0;0;9;;none;;;;;;;;0;;
0;0;10;;none;;;;;;;;0;;
0;0;11;;none;;;;;;;;0;;
0;0;12;;none;;;;;;;;0;;
0;0;13;;none;;;;;;;;0;;
0;0;14;;none;;;;;;;;0;;
0;0;15;;none;;;;;;;;0;;
0;0;16;;none;;;;;;;;0;;
0;0;17;;none;;;;;;;;0;;
0;0;18;;none;;;;;;;;0;;
0;0;19;;none;;;;;;;;0;;
0;0;20;;none;;;;;;;;0;;
0;0;21;;none;;;;;;;;0;;
0;0;22;;none;;;;;;;;0;;
0;0;23;;none;;;;;;;;0;;
0;0;24;;none;;;;;;;;0;;
0;0;25;;none;;;;;;;;0;;
0;0;26;;none;;;;;;;;0;;
0;0;27;;none;;;;;;;;0;;
0;1;0;;none;;;;;;;;0;;
0;1;1;;none;;;;;;;;0;;
0;1;2;;none;;;;;;;;0;;
0;1;3;;none;;;;;;;;0;;
0;1;4;;none;;;;;;;;0;;
0;1;5;;none;;;;;;;;0;;
0;1;6;;none;;;;;;;;0;;
0;1;7;;none;;;;;;;;0;;
0;1;8;;none;;;;;;;;0;;
0;1;9;;none;;;;;;;;0;;
0;1;10;;none;;;;;;;;0;;
0;1;11;;none;;;;;;;;0;;
0;1;12;;none;;;;;;;;0;;
0;1;13;;none;;;;;;;;0;;
0;1;14;;none;;;;;;;;0;;
0;1;15;;none;;;;;;;;0;;
0;1;16;;none;;;;;;;;0;;
0;1;17;;none;;;;;;;;0;;
0;1;18;;none;;;;;;;;0;;
0;1;19;;none;;;;;;;;0;;
0;1;20;;none;;;;;;;;0;;
0;1;21;;none;;;;;;;;0;;
0;1;22;;none;;;;;;;;0;;
0;1;23;;none;;;;;;;;0;;
0;1;24;;none;;;;;;;;0;;
0;1;25;;none;;;;;;;;0;;
0;1;26;;none;;;;;;;;0;;
0;1;27;;none;;;;;;;;0;;
