line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;12980.920381028347;;17516.360491617128;;19520.919338368487;
cost_time;;3894.500301963274;;5035.580359582827;;4494.499999999998;
cost_wait;;1193.4200790650718;;1447.7801320342996;;1293.420000000889;
cost_oper;;7893.000000000001;;7953.0;;8613.000000000002;
cost_repl;;;;3080.0;;5119.999338367598;
0;1;1;12,11,10,16,18;0.0;12,11,10,16,18;2.0;12,11,10,16,18
1;1;1;18,16,10,11,12;0.0;18,16,10,11,12;2.0;18,16,10,11,12
2;2;1;2,6,8,16,17,19,20;1.0;2,6,8,16,17,19,20;0.0;2,6,8,16,17,19,20
3;2;1;20,19,17,16,8,6,2;1.0;20,19,17,16,8,6,2;0.0;20,19,17,16,8,6,2
4;3;1;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18;1.0;3,4,5,9,8,7,18
5;3;1;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3;1.0;18,7,8,9,5,4,3
6;4;2;1,3,4,11,14,23,24;2.0;1,3,4,11,14,23,24;2.0;1,3,4,11,14,23,24
7;4;2;24,23,14,11,4,3,1;2.0;24,23,14,11,4,3,1;2.0;24,23,14,11,4,3,1
8;5;0;10,15,22,23;0.0;10,15,22,23;0.0;10,15,22,23
9;5;0;23,22,15,10;0.0;23,22,15,10;0.0;23,22,15,10
10;6;1;13,24,21,20;1.0;13,24,21,20;1.0;13,24,21,20
11;6;1;20,21,24,13;1.0;20,21,24,13;1.0;20,21,24,13
12;7;0;12,11,10,9,8,7;0.0;12,11,10,9,8,7;0.0;12,11,10,9,8,7
13;7;0;7,8,9,10,11,12;0.0;7,8,9,10,11,12;0.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;1.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;1.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;2;6,5,9,10,15,19;2.0;6,5,9,10,15,19;3.0;6,5,9,10,15,19
17;9;2;19,15,10,9,5,6;2.0;19,15,10,9,5,6;3.0;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23;0.0;8,16,10,11,14,23;0.0;8,16,10,11,14,23
19;10;0;23,14,11,10,16,8;0.0;23,14,11,10,16,8;0.0;23,14,11,10,16,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21
25;13;0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8
26;14;1;14,15,19,17,10;1.0;14,15,19,17,10;1.0;14,15,19,17,10
27;14;1;10,17,19,15,14;1.0;10,17,19,15,14;1.0;10,17,19,15,14
